Question	Answer	Source
Do I have to pay to select my seats in advance?	Passengers in Suites, First Class, and Business Class will enjoy complimentary seat selection at all times. Passengers in Premium Economy Class will enjoy complimentary seat selection, and may pay a fee to select Extra Legroom Seats. The Economy Flexi fare allows passengers to have access to Standard and Forward Zone Seats for free in advance from time of booking. The Economy Standard fare allows passengers to select in advance Standard Seats for free and pay a small fee for Forward Zone Seats, while passengers who choose the Economy Lite fare can select Standard or Forward Zone Seats in advance for a small fee.If you are a PPS Club, KrisFlyer Elite Gold or KrisFlyer Elite Silver member, you can select seats from certain categories in advance for free, in accordance with your membership tier, regardless of the fare type you choose. For more details, please click [here](https://www.singaporeair.com/en_UK/in/flying-withus/fare-types/ppskrisflyer-privileges/).	https://www.singaporeair.com/en_UK/faq/
How do I book a Singapore Stopover Holiday?	You can book a Singapore Stopover Holiday as you book a flight on singaporeair.com or with your local Singapore Airlines or SilkAir office, as long as it's at least 72 hours before your stop in Singapore.If you've already booked a flight on our website or through your local Singapore Airlines office, simply enter your Booking Reference in the 'Manage Booking' section of this website. You can add a Singapore Stopover Holiday to your booking there, as long as: * your itinerary includes a stop of at least 24 hours in Singapore (or else, changes to your flight will be necessary); and * your booking is made at least 72 hours prior to the hotel check-in date.Singapore Stopover Holiday packages can't be purchased from the SIA Stopover Holiday counter.	https://www.singaporeair.com/en_UK/faq/
Can a company participate in both the Corporate Travel Programme and HighFlyer?	No, a company can only participate in either the Corporate Travel Programme or HighFlyer, but not both.	https://www.singaporeair.com/en_UK/faq/
Who is eligible for the Singapore Airlines HighFlyer?	Bona fide and registered companies (excluding travel agencies) that do not have a pre-existing corporate travel agreement with Singapore Airlines.	https://www.singaporeair.com/en_UK/faq/
How many changes can I make to the list of Corporate Travellers?	i. When a HighFlyer account is newly created, it will be given 1 month to populate the initial list of Corporate Travellers and Assistant Corporate Travel Managers. The timer for the 5 changes per month will only start after the 1-month settle in period. ii. The 5 changes only apply to addition and deletion of Corporate Travellers from the list, excluding changes to details of registered Corporate Travellers.	https://www.singaporeair.com/en_UK/faq/
What is the checked baggage allowance on Singapore Airlines flights?	Your checked baggage allowance is based on the weight or piece concept, depending on your final destination.Weight conceptFor flights to and from all destinations, except the USA.Class of travelAllowancePPS Club membersKrisFlyer Elite Gold / Star Alliance Gold membersSuites and First Class50kgExtra 50kgTotal: 100kgExtra 20kgTotal: 70kgBusiness Class40kgExtra 40kgTotal: 80kgExtra 20kgTotal: 60kgPremium Economy35kgExtra 35kgTotal: 70kgExtra 20kgTotal: 55kgEconomy ClassFlexi35kgExtra 30kgTotal: 65kgExtra 20kgTotal: 55kgStandard30kgExtra 30kgTotal: 60kgExtra 20kgTotal: 50kgLite30kgExtra 30kgTotal: 60kgExtra 20kgTotal: 50kgPiece conceptFor flights to and from the USA only.Class of travelAllowancePPS Club membersKrisFlyer Elite Gold / Star Alliance Gold membersSuites and First Class2 pieces, up to 32kg each2 extra pieces, up to 32kg each1 extra piece, up to 32kg eachBusiness Class2 pieces, up to 32kg each2 extra pieces, up to 32kg each1 extra piece, up to 32kg eachPremium Economy2 pieces, up to 23kg each2 extra pieces, up to 23kg each1 extra piece, up to 23kg eachEconomy Class2 pieces, up to 23kg each2 extra pieces, up to 23kg each1 extra piece, up to 23kg eachWhen you book a flight with us, your free baggage allowance will be indicated on your ticket. Click [here](https://www.singaporeair.com/en_UK/in/faqCategory/#) for more information on your checked baggage allowance on our flights.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29849
What is the cabin baggage allowance on Singapore Airlines flights?	When you fly with us, you can carry up to two bags into the cabin with you depending on your class of travel.In addition to the limitations stated here, you must also be able to stow your baggage securely in the overhead compartment or under the seat in front of you.Class of travelAllowanceLimitationsSuitesFirst ClassBusiness Class2 piecesUp to 7kg eachSum of length, width and height of each piece should not exceed 115cmPremium Economy ClassEconomy Class1 pieceClick [here]() for more information on your cabin baggage allowance on our flights.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29849
How can I check the status of my mishandled/lost baggage?	On the rare occasion that you arrive at your destination without your checked baggage, we'll do everything we can to trace your baggage and have it delivered to you as soon as possible. For immediate assistance, get in touch with the local Singapore Airlines airport office.You can also check on the status of your baggage by entering your File Reference number in our [Baggage Tracer system](http://www.worldtracer.aero/filedsp/sq.htm)	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29849
What is the checked baggage allowance on codeshare flights?	Checked baggage allowances vary across different airlines and destinations. Please check with our respective codeshare partner airline for the checked baggage allowance for your flight.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29849
What is the cabin baggage allowance on codeshare flights?	Cabin baggage allowances vary across different airlines and destinations. Please check with our respective codeshare partner airline for the cabin baggage allowance for your flight.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29849
What types of booking alerts are available?	When you fly with us, you'll receive any or all of these alerts via SMS and/or email. * Check-in notificationDelivered when online/mobile check-in is open, about 48 hours before your scheduled departure. * Check-in confirmationDelivered once you've completed your online/mobile check-in. * Waitlist confirmationDelivered if you're waitlisted for a flight, and a seat becomes available. This alert is only available via SMS, if you've provided your mobile phone number during your booking. This alert is available via email and SMS, if you've provided them during your booking. * Flight disruptionDelivered if there's a cancellation, delay or change in your flight time. This alert is only available via SMS, if you've provided your mobile phone number during your booking. * Redemption waitlist confirmationDelivered if you're waitlisted for an award ticket or flight upgrade, and a seat becomes available. By choosing to receive the redemption waitlist confirmation alert, you'll also be signed up to receive the ticketing time limit alert, which prompts you to ticket your redemption booking by a specific date or it will be cancelled automatically.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=28897
What are booking alerts?	Booking alerts are automatic notifications on your itinerary, delivered to you via SMS and/or email. Alerts will be sent whenever you make changes to your booking (via email only), check in for your flight, and/or when there are updates to the status of your flight(s).	https://www.singaporeair.com/en_UK/in/faqCategory/?category=28897
I've signed up for booking alerts. Why didn't I receive them?	There are a number of reasons why you may not have received your booking alerts. For instance, you may have provided an invalid mobile phone number or email address. Perhaps your travel agent did not enter your KrisFlyer or PPS Club membership number when you made your booking. Or we may be experiencing some technical difficulties.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=28897
Will I receive booking alerts if I've booked a codeshare flight?	There are two types of codeshare flights: Those operated by Singapore Airlines and those operated by our codeshare partner. Booking alerts will only be sent to you for codeshare flights operated by Singapore Airlines.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=28897
Will I receive booking alerts if I change my flight?	Yes, you will receive booking alerts based on your new flights.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=28897
Can I book a flight on singaporeair.com if I'm not one of the passengers?	Yes, you can. You may, however, have to verify your credit/debit card at your [local Singapore Airlines office](/en_UK/contact-us/) or at the airport check-in counter before departure. Remember to bring the actual credit/debit card together with a photo ID.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
Can I book a flight on singaporeair.com for myself and other passengers?	Yes, you can. Simply select the number of passengers in the 'Search flights' section on singaporeair.com and go through the usual booking process.You can also watch this video on how to make an online booking for a family holiday on singaporeair.com.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
What is the maximum number of tickets I can book in one online transaction?	If you're booking a flight on Singapore Airlines or SilkAir, you can book a maximum of: * 4 tickets in First Class; * 6 tickets in Business Class; * 6 tickets in Premium Economy Class; or * 9 tickets in Economy ClassIf your booking includes one or more flights operated by our partner airlines, you can book a maximum of: * 2 tickets in First Class; * 2 tickets in Business Class; or * 4 tickets in Premium Economy/Economy ClassIf your travelling party includes more people than the maximum allowed for each transaction, you can make multiple bookings online or book through your [local Singapore Airlines office](/en_UK/contact-us/). However, the fares from your local Singapore Airlines office may be different from those quoted online.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
Can I book a child ticket online?	Yes, you can as long as the child ticket is booked with an adult ticket in one transaction. The child must be from 2 to under-12 years of age on the date of your flight, and the adult must be 18 years of age or older. In most cases, you'll enjoy a special fare for the child at a percentage of the adult fare.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
Can I book an infant ticket online?	Yes, you can as long as the infant ticket is booked with an adult ticket in one transaction. The infant must be more than 7 days and under-2 years of age on the date of your flight, and the adult must be 18 years of age or older. In most cases, you'll enjoy a special fare for the infant at a percentage of the adult fare.If you're travelling to the USA, you cannot book an infant ticket online if any of your selected flights are operated by Delta Air Lines (DL) or Alaska Airlines (AS). If you're travelling alone with two or more infants, make the necessary arrangements with your [local Singapore Airlines office](/en_UK/contact-us/).	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
Are there time restrictions for online bookings?	You can book online from up to 355 days before your flight departs to the time that all seats are sold or the flight is closed (typically a few hours before departure), whichever comes first.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
I've flown part of my itinerary. Can I change any of the remaining flights?	Yes you can, as long as you've purchased a fare that allows changes to your flights.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
My ticket was purchased from a travel agent. Can I change my itinerary on singaporeair.com?	No, only tickets purchased on singaporeair.com or from a local Singapore Airlines office can be changed online and as long as you've purchased a fare that allows changes to your flights. To change the itinerary for a ticket you've purchased from your travel agent, get in touch with them directly.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
Can I book a flight on singaporeair.com to and/or from a destination where Singapore Airlines does not operate?	Yes, as long as we have airline partners that operate to and/or from that destination.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
What is a Singapore Airlines codeshare flight?	A Singapore Airlines codeshare flight has a four-digit flight number following the letters 'SQ', although the flight is operated by one of [our partner airlines](https://www.singaporeair.com/en_UK/travel-info/partner-airlines/).	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
I'm logged-in as a KrisFlyer member. Why are my bookings not shown in my account?	If you didn't provide your KrisFlyer or PPS Club membership number when you made a booking online, or provided the wrong KrisFlyer or PPS Club membership number to your travel agent, your booking won't show when you log in to your account. To ensure that KrisFlyer miles will be credited to your account, retrieve your booking using your Booking Reference or e-ticket number and last/family name, and add your KrisFlyer or PPS Club membership number when you check in, or when you manage your booking.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
I've booked a flight for another passenger using my credit card. What happens if I'm asked to verify my credit card but can't be present for that passenger's check-in?	You will then need to verify your credit or debit card at your local Singapore Airlines office or at the airport check-in counter before the departure. Otherwise, that passenger may be refused travel.[> Special requirements for passengers travelling in Germany](https://www.singaporeair.com/en_UK/travel-info/charges-changes/credit-card-verification-germany/)	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
Where do I find fare promotions on singaporeair.com?	See how easy it is to find the best deals on our site.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29342
I'd purchased my ticket from a travel agent. Can I cancel this booking on singaporeair.com?	No, only bookings made on singaporeair.com or from a local Singapore Airlines office can be cancelled online. To cancel a booking you've made with a travel agent, get in touch with them directly.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29155
I've flown part of my itinerary. Can I cancel the remaining flights on my itinerary?	Yes, you can cancel your remaining flights by entering your Booking Reference number in the '[Manage Booking](https://www.singaporeair.com/en_UK/plan-and-book/managebooking/)' section of our website. This is subject to the fare conditions of your ticket.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29155
My itinerary contains flights on partner airlines. Can I cancel my booking on singaporeair.com?	Yes you can, subject to the fare conditions of your ticket. However, your cancellation will apply to your whole itinerary and for all passengers in your booking.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29155
How do I get a refund for an unused ticket purchased on singaporeair.com?	If you've purchased a ticket on a refundable fare, you can request for a full refund on our website. However, cancellation/refund fees may apply. If you cancel a non-refundable ticket, only the taxes will be refunded.Simply: * enter your Booking Reference in the '[Manage Booking](https://www.singaporeair.com/en_UK/plan-and-book/managebooking/)' section; * click on the 'Cancel booking' link; and * be guided through a few easy steps.If you've purchased a ticket for a flight to or from the USA, you may cancel your ticket without penalty within 24 hours of your booking - as long as it's more than a week before your flight departs. To ensure that you get a full refund, your cancellation must be made with your [local Singapore Airlines office](https://www.singaporeair.com/en_UK/contact-us/).	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29155
Why am I charged a cancellation/refund fee?	Cancellation/refund fees are imposed for certain tickets based on their fare conditions.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29155
What terms and conditions are applicable to my ticket?	If you purchased your ticket in Italy, please refer to our [General Conditions of Carriage](http://www.singaporeair.com/en_UK/global_footer/conditions-carriage-italian/) for the Italian market.If you purchased your ticket elsewhere, please refer to our [General Conditions of Carriage](http://www.singaporeair.com/en_UK/global_footer/conditions-carriage/) for other markets.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29155
What is online/mobile check-in?	Online/Mobile check-in means checking in for your flight through our website or SingaporeAir mobile app. Eligible passengers may also obtain a self-printed boarding pass or mobile boarding pass when departing from selected cities.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
Am I eligible for online/mobile check-in?	Online/Mobile check-in is available to all passengers, except those who: * are below 18 years old, and not accompanied by an adult passenger (above 18 years old) * are travelling in a group of 10 passengers or more in the same booking * have one or more preceding flights in the same booking for which the passengers have not checked in.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
I have bags to check in. Can I still check in online?	Yes, you can check in on our website or through the SingaporeAir mobile app, get your self-printed or mobile boarding pass, and proceed to the airport check-in counter on the day of your departure to drop off your bags.If you are departing from Singapore, Bangalore, Copenhagen, London, Los Angeles, Paris, San Francisco or Tokyo (Narita) you may use the check-in kiosks to print your baggage tag(s) before proceeding to the bag drop counter to drop off your bags.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
Why do I have to enter my passport information when I check in online?	For security reasons, immigration and customs authorities go through a comprehensive process of checking the personal details you provide before you arrive. It's important for you to ensure the information you provide is correct and up-to-date, as any inaccuracies may cause delays in immigration clearance and other inconveniences when you arrive at the airport. The passport details you provide should also be that of the passport you'll carry with you when you travel.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
When is my online/mobile check-in complete?	Your check-in is complete once you arrive at the confirmation page online.Depending on your city of departure, you may be eligible for self-printed or mobile boarding passes. If so, these boarding passes will be available for download and/or printing. Find out the cities where you'll be eligible for [self-printed boarding passes](https://www.singaporeair.com/en_UK/travel-information/checkin-online/) and [mobile boarding passes.](https://www.singaporeair.com/en_UK/travel-information/checkin-online/)	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
What types of boarding passes are available?	There are four types of boarding passes: * Boarding passes that are printed and issued at the airport check-in counter * Self-printed boarding passes in PDF format, which can be printed at your convenience * Mobile boarding passes, issued on your mobile device with a QR code * Kiosk boarding passes, which are printed at the airport check-in kiosks (where available)	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
Why should I get a self-printed or mobile boarding pass?	Printing your boarding pass or downloading it to your mobile device before you go to the airport will help you avoid the queue at the check-in counter. If you have bags to check in or travel documents to verify, you can proceed to the bag drop counters. If you don't, you can proceed directly to immigration.Some airports may require you to verify your travel documents at the check-in counter even if you have obtained your self-printed or mobile boarding passes. Please check with the airline or airport customer service counter if unsure.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
What if I cannot print or download my boarding pass?	If you're unable to print your boarding pass or get it on your mobile device, you can get your boarding pass from the airport check-in counter on the day of your departure. Please be at the airport counter at least 90 minutes before your flight if you have bags to check in. If you have no bags to check in, please collect your boarding pass before closure of check-in counters. If your boarding pass isn't collected by then, your check-in may be cancelled and your seat may be reassigned.For the opening hours of Singapore Airlines check-in counters at airports around the world, click [here](/en_UK/travel-info/check-in/counter-checkin/).	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
How can I get a mobile boarding pass?	You can get a mobile boarding pass if you don't require travel document or credit card verification before you fly.It's also offered to passengers departing from the following cities.Europe * Amsterdam * Barcelona * Copenhagen * Düsseldorf * Frankfurt * Istanbul * London * Manchester * Milan * Munich * Paris * Rome * Zurich North Asia * Hong Kong * Fukuoka * Nagoya * Osaka  * Seoul * Taipei * Tokyo(Haneda) * Tokyo (Narita) South East Asia  * Bangkok * Kuala Lumpur * Singapore South West Pacific * Adelaide * Auckland * Christchurch West Asia & Africas * Cape Town * Colombo * Dubai * Johannesburg Americas * Houston * Los Angeles * New York * San Francisco	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
My self-printed boarding pass says I should proceed to the check-in counter at the airport, but I'm late for my flight. Can I proceed directly to immigration?	No. If you do so, the airport police officer will redirect you to the check-in counter for verification.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
I've downloaded a mobile boarding pass. Why am I also given a printed boarding pass at the check-in counter at Changi Airport?	You may receive a printed boarding pass at the airport check-in counter if you've requested a change of seat or if operational factors, such as a change of aircraft, require it.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
Where are the Singapore Airlines check-in kiosks located?	The Singapore Airlines check-in kiosks are located at the following airports: * Singapore Changi Terminal 2 (Row 3) and Terminal 3 (Rows 3 and 4) * Amsterdam Schiphol (Departure Hall 3) * Bengaluru Kempegowda International Terminal * Copenhagen Airport Terminal 2 * London Heathrow Terminal 2 (Zone A) * Los Angeles Tom Bradley International Terminal (Aisle C) * Paris Charles de Gaulle Airport Terminal 1 (Hall 1) * San Francisco International Terminal (Aisle 4) * Tokyo Narita Terminal 1 South Wing (Zone G)	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
How do I use the Singapore Airlines check-in kiosk?	1. On the home screen, select 'Singapore Airlines'. 2. Agree to the terms and conditions on carrying dangerous goods. 3. Select from these 5 options to retrieve your booking: * Scan your passport; * Scan the barcode on your self-printed or mobile boarding pass * Enter your e-ticket number (10 numbers) starting with '618'; * Swipe your KrisFlyer/PPS Club membership card; or * If you're checking in for more than one person, enter your Booking Reference (6 letters and numbers). 4. Once you've retrieved your booking, scan your passport by placing the photo page face down on the glass. Make sure your passport is inserted completely. 5. To change your seat, select 'Seat map'. To complete your check-in, select 'Confirm check-in'.Or, you can add up to 5 more people to your check-in. If you do, remember that you'll need to have their passports ready for scanning.Each passenger must hold a valid passport (and visa(s), if required) to be allowed entry into each destination on the flight itinerary. Singapore Airlines cannot be held responsible if a passenger is denied entry and/or deported by any local authority.  6. If you have bags to check in, select 'Yes'. Otherwise, tap 'No' and your boarding pass will be printed right away.For your convenience at the airport, please retain only the latest copy of your boarding pass for each flight. All earlier versions of your boarding pass should be deleted from your mobile device and/or discarded or handed to any of our check-in agents. 7. Use the '+' sign to indicate the number of bags you'd like to check in. For instance, if you have 2 bags, tap the '+' sign twice. 1. Your bag tags will be printed right away, followed by your boarding passes. Once you've tagged your bags, send them to the Bag Drop counter*. [See how to tag your bags](/en_UK/travel-info/check-in/kiosk-checkin/)*Printing of bag tags and self-tagging services are not available at Amsterdam Schipol Airport. Proceed to the [check-in counter](/en_UK/travel-info/check-in/counter-checkin/) to get your bag tags and drop off your bags.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
Why can't I complete my check-in at the check-in kiosk?	You'll need to approach the airport check-in counter if: * your passport or visa is not machine-readable * your booking is not confirmed, or you're on a waitlist * you or the passenger you're checking in is an unaccompanied minor * you've booked an extra seat (for instance, for a musical instrument) * you require special assistance (for instance, you're travelling with a pet, you require medical assistance, or you've requested for the meet-and-assist service)	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
Can I get boarding passes on behalf of my family, friends and/or colleagues who are travelling with me?	Yes you can, as long as their Booking Reference is the same as yours. You'll need to have their passport details ready. However, this doesn't apply to mobile boarding passes.If they have a different Booking Reference, they'll have to check in separately.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29243
Why does Singapore Airlines charge a fee for bookings paid with credit cards?	When you use a credit card to pay for your flights out of certain countries, Singapore Airlines incurs costs relating to the acceptance of credit cards. You won't be charged a service fee if you choose to pay with debit cards or other non-credit card alternatives.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
In what scenarios will I be charged a credit card service fee?	A service fee may be added to bookings paid with a credit card for flights out of certain countries. The service fee will not be applied to additional fares or fees collected when you make changes to your booking. The service fee will also not apply to redemption bookings and bookings paid with a European Economic Area issued personal credit card.For tickets purchased through a mix of KrisFlyer miles and cash, the service fee will only be applied to the portion paid for by a credit card.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
Will a credit card service fee be charged for tickets purchased through a mix of KrisFlyer miles and cash?	For such purchases, the remaining cash portion must be paid for by a debit / credit card. If you choose to pay with a credit card, you will be charged a service fee. If you choose to pay with a debit card or a European Economic Area issued personal credit card, you won't be charged a service fee.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
Does the credit card service fee apply for all routes?	When purchasing tickets online through singaporeair.com or through your local SIA office or travel agent, the fee will apply for routes departing from Australia, Belgium, Netherlands, New Zealand and the United Kingdom.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
What are the credit card service fees that will apply?	For flights departing fromCredit card service fee (per ticket)Australia1.35% of the total amount, capped at AUD70Belgium / Netherlands 1.65% of the total amount, capped at EUR20New Zealand1.70% of the total amount, capped at NZD70United Kingdom1.00% of the total amount, capped at GBP20	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
How is the percentage fee calculated?	The percentage fee is calculated based on the all-inclusive fare i.e. the sum of the fare, taxes and any surcharges. The credit card service fee is not applicable on ancillary products such as Preferred Seats and excess baggage.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
When will the credit card service fee take effect?	For flights departing fromCredit Card Service Fee applicable on or afterAustralia1 November 2016Belgium / Netherlands 3 April 2017New Zealand3 April 2017United Kingdom	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
Is the credit card service fee refundable?	The credit card service fee is non-refundable.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
Does the credit card service fee also apply when I pay by a debit card?	You will not be charged a service fee if you do not pay with a credit card.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
Is the credit card service fee applicable for infant and child tickets?	Yes.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
What forms of payments are exempted from the credit card service fee?	All other non-credit card payment methods - for example, debit cards or PayPal, where accepted.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
Why do we vary our fees by market?	Our fees are based largely on local market practices.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=46247
Why is KrisFlyer introducing the digital KrisFlyer / PPS Club membership card?	The introduction of the digital KrisFlyer / PPS Club membership card is part of KrisFlyer's ongoing efforts to improve your travel experience. You will now be able to access your KrisFlyer / PPS Club digital membership card on your mobile device anytime, anywhere.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
