Question_id	Question	Answer	PageRank
23	I’ve signed up for booking alerts. Why didn’t I receive them?	There are a number of reasons why you may not have received your booking alerts. For instance, you may have provided an invalid mobile phone number or email address. Perhaps your travel agent did not enter your KrisFlyer or PPS Club membership number when you made your booking. Or we may be experiencing some technical difficulties.	0
24	Will I receive booking alerts if I’ve booked a codeshare flight?	There are two types of codeshare flights: Those operated by Singapore Airlines and those operated by our codeshare partner. Booking alerts will only be sent to you for codeshare flights operated by Singapore Airlines.	0
25	Will I receive booking alerts if I change my flight?	Yes, you will receive booking alerts based on your new flights.	0
26	Can I book a flight on singaporeair.com if I’m not one of the passengers?	Yes, you can. You may, however, have to verify your credit/debit card at your local Singapore Airlines office or at the airport check-in counter before departure. Remember to bring the actual credit/debit card together with a photo ID.	0
27	Can I book a flight on singaporeair.com for myself and other passengers?	Yes, you can. Simply select the number of passengers in the ‘Search flights’ section on singaporeair.com and go through the usual booking process.You can also watch this video on how to make an online booking for a family holiday on singaporeair.com.	0
28	What is the maximum number of tickets I can book in one online transaction?	If you’re booking a flight on Singapore Airlines or SilkAir, you can book a maximum of:If your booking includes one or more flights operated by our partner airlines, you can book a maximum of:If your travelling party includes more people than the maximum allowed for each transaction, you can make multiple bookings online or book through your local Singapore Airlines office. However, the fares from your local Singapore Airlines office may be different from those quoted online.	0
29	Can I book a child ticket online?	Yes, you can as long as the child ticket is booked with an adult ticket in one transaction. The child must be from 2 to under-12 years of age on the date of your flight, and the adult must be 18 years of age or older. In most cases, you’ll enjoy a special fare for the child at a percentage of the adult fare.	0
30	Can I book an infant ticket online?	Yes, you can as long as the infant ticket is booked with an adult ticket in one transaction. The infant must be more than 7 days and under-2 years of age on the date of your flight, and the adult must be 18 years of age or older. In most cases, you’ll enjoy a special fare for the infant at a percentage of the adult fare.If you’re travelling to the USA, you cannot book an infant ticket online if any of your selected flights are operated by Delta Air Lines (DL) or Alaska Airlines (AS). If you’re travelling alone with two or more infants, make the necessary arrangements with your local Singapore Airlines office.	0
31	Are there time restrictions for online bookings?	You can book online from up to 355 days before your flight departs to the time that all seats are sold or the flight is closed (typically a few hours before departure), whichever comes first.	0
32	I’ve flown part of my itinerary. Can I change any of the remaining flights?	Yes you can, as long as you’ve purchased a fare that allows changes to your flights.	0
33	My ticket was purchased from a travel agent. Can I change my itinerary on singaporeair.com?	No, only tickets purchased on singaporeair.com or from a local Singapore Airlines office can be changed online and as long as you’ve purchased a fare that allows changes to your flights. To change the itinerary for a ticket you’ve purchased from your travel agent, get in touch with them directly.	0
34	Can I book a flight on singaporeair.com to and/or from a destination where Singapore Airlines does not operate?	Yes, as long as we have airline partners that operate to and/or from that destination.	0
35	What is a Singapore Airlines codeshare flight?	A Singapore Airlines codeshare flight has a four-digit flight number following the letters ‘SQ’, although the flight is operated by one of our partner airlines.	0
36	I’m logged-in as a KrisFlyer member. Why are my bookings not shown in my account?	If you didn’t provide your KrisFlyer or PPS Club membership number when you made a booking online, or provided the wrong KrisFlyer or PPS Club membership number to your travel agent, your booking won’t show when you log in to your account. To ensure that KrisFlyer miles will be credited to your account, retrieve your booking using your Booking Reference or e-ticket number and last/family name, and add your KrisFlyer or PPS Club membership number when you check in, or when you manage your booking.	0
37	I've booked a flight for another passenger using my credit card. What happens if I'm asked to verify my credit card but can’t be present for that passenger's check-in?	You will then need to verify your credit or debit card at your local Singapore Airlines office or at the airport check-in counter before the departure. Otherwise, that passenger may be refused travel.> Special requirements for passengers travelling in Germany	0
38	Where do I find fare promotions on singaporeair.com?	See how easy it is to find the best deals on our site.	0
39	I’d purchased my ticket from a travel agent. Can I cancel this booking on singaporeair.com?	No, only bookings made on singaporeair.com or from a local Singapore Airlines office can be cancelled online. To cancel a booking you’ve made with a travel agent, get in touch with them directly.	0
40	I’ve flown part of my itinerary. Can I cancel the remaining flights on my itinerary?	Yes, you can cancel your remaining flights by entering your Booking Reference number in the ‘Manage Booking’ section of our website. This is subject to the fare conditions of your ticket.	0
41	My itinerary contains flights on partner airlines. Can I cancel my booking on singaporeair.com?	Yes you can, subject to the fare conditions of your ticket. However, your cancellation will apply to your whole itinerary and for all passengers in your booking.	0
42	How do I get a refund for an unused ticket purchased on singaporeair.com?	If you’ve purchased a ticket on a refundable fare, you can request for a full refund on our website. However, cancellation/refund fees may apply. If you cancel a non-refundable ticket, only the taxes will be refunded.Simply:If you’ve purchased a ticket for a flight to or from the USA, you may cancel your ticket without penalty within 24 hours of your booking – as long as it’s more than a week before your flight departs. To ensure that you get a full refund, your cancellation must be made with your local Singapore Airlines office.	0
43	Why am I charged a cancellation/refund fee?	Cancellation/refund fees are imposed for certain tickets based on their fare conditions.	0
44	What terms and conditions are applicable to my ticket?	If you purchased your ticket in Italy, please refer to our General Conditions of Carriage for the Italian market.If you purchased your ticket elsewhere, please refer to our General Conditions of Carriage for other markets.	0
45	What is online/mobile check-in?	Online/Mobile check-in means checking in for your flight through our website or SingaporeAir mobile app. Eligible passengers may also obtain a self-printed boarding pass or mobile boarding pass when departing from selected cities.	0
46	Am I eligible for online/mobile check-in?	Online/Mobile check-in is available to all passengers, except those who:	0
47	I have bags to check in. Can I still check in online?	Yes, you can check in on our website or through the SingaporeAir mobile app, get your self-printed or mobile boarding pass, and proceed to the airport check-in counter on the day of your departure to drop off your bags.If you are departing from Singapore, Bangalore, Copenhagen, London, Los Angeles, Paris,  San Francisco or Tokyo (Narita) you may use the check-in kiosks to print your baggage tag(s) before proceeding to the bag drop counter to drop off your bags.	0
48	Why do I have to enter my passport information when I check in online?	For security reasons, immigration and customs authorities go through a comprehensive process of checking the personal details you provide before you arrive. It’s important for you to ensure the information you provide is correct and up-to-date, as any inaccuracies may cause delays in immigration clearance and other inconveniences when you arrive at the airport. The passport details you provide should also be that of the passport you’ll carry with you when you travel.	0
49	When is my online/mobile check-in complete?	Your check-in is complete once you arrive at the confirmation page online.Depending on your city of departure, you may be eligible for self-printed or mobile boarding passes. If so, these boarding passes will be available for download and/or printing. Find out the cities where you’ll be eligible for self-printed boarding passes and mobile boarding passes.	0
50	What types of boarding passes are available?	There are four types of boarding passes:	0
51	Why should I get a self-printed or mobile boarding pass?	Printing your boarding pass or downloading it to your mobile device before you go to the airport will help you avoid the queue at the check-in counter. If you have bags to check in or travel documents to verify, you can proceed to the bag drop counters. If you don’t, you can proceed directly to immigration.Some airports may require you to verify your travel documents at the check-in counter even if you have obtained your self-printed or mobile boarding passes. Please check with the airline or airport customer service counter if unsure.	0
52	What if I cannot print or download my boarding pass?	If you’re unable to print your boarding pass or get it on your mobile device, you can get your boarding pass from the airport check-in counter on the day of your departure. Please be at the airport counter at least 90 minutes before your flight if you have bags to check in. If you have no bags to check in, please collect your boarding pass before closure of check-in counters. If your boarding pass isn’t collected by then, your check-in may be cancelled and your seat may be reassigned.For the opening hours of Singapore Airlines check-in counters at airports around the world, click here.	0
53	How can I get a mobile boarding pass?	You can get a mobile boarding pass if you don’t require travel document or credit card verification before you fly.It’s also offered to passengers departing from the following cities.	0
54	My self-printed boarding pass says I should proceed to the check-in counter at the airport, but I’m late for my flight. Can I proceed directly to immigration?	No. If you do so, the airport police officer will redirect you to the check-in counter for verification.	0
55	I’ve downloaded a mobile boarding pass. Why am I also given a printed boarding pass at the check-in counter at Changi Airport?	You may receive a printed boarding pass at the airport check-in counter if you’ve requested a change of seat or if operational factors, such as a change of aircraft, require it.	0
56	Where are the Singapore Airlines check-in kiosks located?	The Singapore Airlines check-in kiosks are located at the following airports:	0
57	How do I use the Singapore Airlines check-in kiosk?	On the home screen, select ‘Singapore Airlines’.Select from these 5 options to retrieve your booking:Once you’ve retrieved your booking, scan your passport by placing the photo page face down on the glass. Make sure your passport is inserted completely.To change your seat, select ‘Seat map’. To complete your check-in, select ‘Confirm check-in’.Or, you can add up to 5 more people to your check-in. If you do, remember that you’ll need to have their passports ready for scanning.Each passenger must hold a valid passport (and visa(s), if required) to be allowed entry into each destination on the flight itinerary. Singapore Airlines cannot be held responsible if a passenger is denied entry and/or deported by any local authority.If you have bags to check in, select ‘Yes’. Otherwise, tap ‘No’ and your boarding pass will be printed right away.For your convenience at the airport, please retain only the latest copy of your boarding pass for each flight. All earlier versions of your boarding pass should be deleted from your mobile device and/or discarded or handed to any of our check-in agents.See how to tag your bags*Printing of bag tags and self-tagging services are not available at Amsterdam Schipol Airport. Proceed to the check-in counter to get your bag tags and drop off your bags.	0
58	Why can’t I complete my check-in at the check-in kiosk?	You’ll need to approach the airport check-in counter if:	0
59	Can I get boarding passes on behalf of my family, friends and/or colleagues who are travelling with me?	Yes you can, as long as their Booking Reference is the same as yours. You’ll need to have their passport details ready. However, this doesn’t apply to mobile boarding passes.If they have a different Booking Reference, they’ll have to check in separately.	0
60	Can I change my seat after checking in?	Yes, you can change your seat after your check-in is complete as long as you have not gotten your boarding pass. When you’ve gotten your boarding pass or if it is within 1.5 hours to your flight departure, you can only change your seat at the airport check-in counter.	0
61	How can I cancel my check-in?	You can cancel your check-in only if you haven’t downloaded or printed your boarding pass.In the ‘Manage Booking’ tab, retrieve your booking by entering your Singapore Airlines or SilkAir Booking Reference number (6 letters and numbers) or E-ticket number (13 digits) without the spaces and hyphens.Click on the ‘Cancel Check-in’ button, and follow the instructions.	0
62	If I’ve cancelled my check-in, can I check in again for the same flight?	Yes, you can by going through the usual check-in process on singaporeair.com or through the SingaporeAir mobile app.	0
63	With which airlines do Singapore Airlines have through check-in agreements?	Singapore Airlines has through check-in agreements with a host of partner airlines. When you fly on a journey that begins with a flight on Singapore Airlines and continues with flights operated by these partner airlines, you can get boarding passes for all flights on your journey. You can also have your bags tagged to your final destination, subject to the customs regulations of your first point of arrival.	0
64	Can I check in online or on my mobile device for a connecting flight operated by another airline?	Yes, you may do so if the connecting flight:	0
65	Can I check in online or on my mobile device for a codeshare flight?	Yes, you can check in for a codeshare flight that is operated by SilkAir (MI). You can also check in for a codeshare flight with another partner airline if the flight:	0
66	It’s less than 48 hours before my flight departs. Why is my flight still not available for check-in online or on my mobile device?	Once in a while, unexpected operational factors prevent us from making a flight available for check-in on singaporeair.com or through the SingaporeAir mobile app. When this happens, please try again later or check in at the airport.	0
67	Can I change my flight after checking in?	Yes, you can by getting in touch with your local Singapore Airlines office or visiting any of our service counters at the airport.	0
68	What is the Passenger Reconciliation System (PRS) at Singapore Changi Airport?	The PRS verifies your flight and boarding pass information, and determines whether you’re cleared to enter the transit area without further checks. If you hold a self-printed, mobile or kiosk boarding pass, the airport police officer will guide you to scan them at the PRS before you proceed to immigration.	0
69	Can I use the Passenger Reconciliation System (PRS) at Singapore Changi Airport?	You can use the PRS if you:	0
70	What is Electronic System for Travel Authorization (ESTA)?	ESTA enables you to travel to the USA, as long as you’re a citizen of an eligible country under the Visa Waiver Program (VWP). Submit your application on the ESTA website.	0
71	When I travel to Australia or New Zealand, why do I have to go to the airport check-in counter even when I’m not checking in a bag?	All travellers to Australia and/or New Zealand (except citizens) need a visa to visit either of these countries. The Australia and New Zealand immigration authorities require all airlines to ensure that their passengers are holding valid visas and passports before they’re allowed to travel. For more information, visit the Australian Government’s Department of Immigration and Border Protection website or the New Zealand Immigration Service website.	0
72	How do I check in online on singaporeair.com?	Let us show you how easy it is to check in online.	0
73	How do I check-in online as a group on singaporeair.com?	Learn how you can check in as a group in a few simple steps.	0
74	How do I change my seats on singaporeair.com?	Get yourself a different seat in just a couple of clicks.	0
75	Why does Singapore Airlines charge a fee for bookings paid with credit cards?	When you use a credit card to pay for your flights out of certain countries, Singapore Airlines incurs costs relating to the acceptance of credit cards. You won’t be charged a service fee if you choose to pay with debit cards or other non-credit card alternatives.	0
76	In what scenarios will I be charged a credit card service fee?	A service fee may be added to bookings paid with a credit card for flights out of certain countries. The service fee will not be applied to additional fares or fees collected when you make changes to your booking. The service fee will also not apply to redemption bookings and bookings paid with a European Economic Area issued personal credit card.For tickets purchased through a mix of KrisFlyer miles and cash, the service fee will only be applied to the portion paid for by a credit card.	0
77	Will a credit card service fee be charged for tickets purchased through a mix of KrisFlyer miles and cash?	For such purchases, the remaining cash portion must be paid for by a debit / credit card. If you choose to pay with a credit card, you will be charged a service fee. If you choose to pay with a debit card or a European Economic Area issued personal credit card, you won’t be charged a service fee.	0
78	Does the credit card service fee apply for all routes?	When purchasing tickets online through singaporeair.com or through your local SIA office or travel agent, the fee will apply for routes departing from Australia, Belgium, Netherlands, New Zealand and the United Kingdom.	0
79	What are the credit card service fees that will apply?		0
80	How is the percentage fee calculated?	The percentage fee is calculated based on the all-inclusive fare i.e. the sum of the fare, taxes and any surcharges. The credit card service fee is not applicable on ancillary products such as Preferred Seats and excess baggage.	0
81	When will the credit card service fee take effect?		0
82	Is the credit card service fee refundable?	The credit card service fee is non-refundable.	0
83	Does the credit card service fee also apply when I pay by a debit card?	You will not be charged a service fee if you do not pay with a credit card.	0
84	Is the credit card service fee applicable for infant and child tickets?	Yes.	0
85	What forms of payments are exempted from the credit card service fee?	All other non-credit card payment methods – for example, debit cards or PayPal, where accepted.	0
86	Why do we vary our fees by market?	Our fees are based largely on local market practices.	0
87	Why is KrisFlyer introducing the digital KrisFlyer / PPS Club membership card?	The introduction of the digital KrisFlyer / PPS Club membership card is part of KrisFlyer’s ongoing efforts to improve your travel experience. You will now be able to access your KrisFlyer / PPS Club digital membership card on your mobile device anytime, anywhere.	0
88	Is the digital KrisFlyer / PPS Club membership card available to all KrisFlyer and PPS Club members of all tiers?	Yes, the digital KrisFlyer / PPS Club membership card is available to all KrisFlyer and PPS Club members of all tiers.	0
89	How can I download the digital KrisFlyer / PPS Club membership card?	You can download your digital KrisFlyer / PPS Club membership card via the SingaporeAir mobile app by following these steps:	0
90	How can I download the SingaporeAir mobile app?	Information on downloading the SingaporeAir can be found at singaporeair.com/app.	0
91	Where can my digital KrisFlyer / PPS Club membership card be used?	Your digital KrisFlyer / PPS Club membership card works like your physical membership card. Present your digital membership card when you travel on Singapore Airlines and SilkAir, or when you transact with our KrisFlyer airline and non-airline partners, to enjoy the applicable membership privileges and benefits.	0
92	With the introduction of the digital KrisFlyer / PPS Club membership card, can I still continue to use my physical membership card?	Yes, you can use both your physical and digital membership cards. Printed versions of the KrisFlyer Basic membership card will also be recognised.	0
93	What are the features on my digital membership card?	Your digital KrisFlyer / PPS Club membership card contains your membership information, including : -The back of the digital KrisFlyer / PPS Club membership card provides additional account information that you may need, including : -	0
94	What is the purpose of the QR code on my digital  membership card?	The QR code is encoded with key membership information including your tier, tier expiry, and card expiry, which can be scanned at touchpoints equipped with compatible QR code readers.	0
95	How can I access the information at the back of my digital membership card?	To view the additional information at the back of your digital membership card, just click on the “i” tooltip located at the bottom-right of your digital membership card.	0
96	How do I know when my digital KrisFlyer / PPS Club membership card was updated?	The back of your digital membership card displays details of the last update of your digital membership card.	0
97	How do I update the information on my digital KrisFlyer / PPS Club membership card?	For iOS users, please enable the “Automatic updates” function at the back of the digital membership card, or pull the top of the digital membership card in your Apple Wallet to refresh. This is recommended so your digital membership card is updated regularly.For Android users, the information on your digital membership card is refreshed every time you access the digital membership card via “Membership card” tab from your SingaporeAir mobile app.	0
98	Where can I find the expiry date of my digital membership card?	For Life Solitaire PPS Club members, the face of your digital membership card will display your card expiry date. For PPS Club and KrisFlyer Elite members, your tier expiry date is displayed on the face of your digital PPS Club or KrisFlyer Elite membership card. For KrisFlyer Basic members, there is no expiry date for your digital membership card.	0
99	Why is there a difference between the expiry date on my digital membership card and my physical membership card?	The expiry date on the physical membership card is one month after your current qualification end date. This is to allow time for new physical membership card to be issued by mail.The expiry date on your digital membership card reflects your actual tier expiry date, which is the qualification end date for your current year of qualification.	0
100	Will I continue receiving my physical membership card?	All PPS Club and KrisFlyer Elite members will continue to receive their physical membership cards in the mail upon qualification. However, in line with our efforts to streamline your travel experience, the issuance of physical KrisFlyer Basic membership cards will cease from Thursday 1 June 2017 (inclusive). KrisFlyer Basic members can still access a printable version of their membership card when they log in to their KrisFlyer account, under the “Profile” tab.	0
101	Why am I unable to share the digital membership card using the "Share Pass" function on my iPhone?	The "Share Pass" function is not supported in this instance. As with physical membership cards, the digital KrisFlyer / PPS Club membership card is for use by the Principal member only, and is strictly non-transferable.	0
102	Can I earn KrisFlyer miles on all Singapore Airlines or SilkAir flights?	You can earn KrisFlyer miles on most booking classes on Singapore Airlines and Silkair flights. However, the earning rates vary and some booking classes, such as G on Singapore Airlines and SilkAir, won’t earn you miles.Before you make a booking, please check with your travel agent, local Singapore Airlines office or the operating partner airline to find out the number of KrisFlyer miles you’ll earn on your flight.	0
103	Can I earn and redeem KrisFlyer miles on other partner airlines?	Yes, you can earn and redeem KrisFlyer miles on partner airlines. Please click on the respective links for more information:	0
104	Will I earn KrisFlyer miles when I travel on an award ticket?	No, you won’t earn KrisFlyer miles when you redeem them for an award ticket.	0
105	Will I earn KrisFlyer miles on the redemption upgrade of my booking?	No, you won’t earn KrisFlyer miles on your redemption upgrade. However, you will continue to earn KrisFlyer miles on your original booking class.	0
106	I’ve bought a ticket on a child fare for my child, and a ticket on an adult fare for myself. Will my child earn the same number of KrisFlyer miles as I do?	Yes, children aged two years or more will earn the same number of KrisFlyer miles as adults in the same booking class.	0
107	Can I convert my credit/charge card points to KrisFlyer miles and credit them to another KrisFlyer account?	No. If you’re the principal credit/charge cardholder, the credit/charge card points you convert to KrisFlyer miles can only be credited to your own KrisFlyer or PPS Club account.	0
108	Can I pool my miles with another KrisFlyer or PPS Club member?	No, as our earning and redemption processes are designed to maximize the benefits for individual travelers.	0
109	How do I ensure that KrisFlyer miles are credited into my account?	Remember to quote your KrisFlyer or PPS Club membership number when you make a booking and present your KrisFlyer or PPS Club membership card at check-in or when you use the services of our partners. Sometimes, certain partners may have additional requirements – for instance, to quote a promotional code – so please check with them before you book.	0
110	Why do the miles earned from KrisFlyer partners take a longer time to be credited to my account?	When you use the services of our partners, they’ll need to verify your transaction and membership status before crediting your miles. You’ll normally see them between two and four weeks after your flight. Or six to eight weeks after you use the services of our non-airline partner. However, if it’s been more than eight weeks and they’re still not there, let us know.Log in and download a Claim Missing Miles form if you’ve flown or used the services of one of our partners. You can find the form under the ‘Claim missing miles’ tab, under ‘Miles’. Just:Alternatively, if you've flown on Singapore Airlines or SilkAir, or one of our partners within the last six months, simply complete the online form.	0
111	Can I submit a missing miles claim for my flights on Singapore Airlines or SilkAir before I enrolled as a KrisFlyer member?	Yes, as long as you’d taken those flights up to six months before the date of your enrolment. Log in to your KrisFlyer account and provide your full name, flight numbers and destinations.	0
112	I will not be able to use an award ticket that I redeemed with my KrisFlyer miles. Will my KrisFlyer miles and airport taxes be refunded?	Yes, for a nominal service fee of US$30 if you’re a KrisFlyer member or US$15 if you’re a KrisFlyer Elite Silver, Elite Gold or PPS Club member, as long as your miles are still valid at the point of refund. Airport taxes will be refunded to your credit/debit card or by cheque.An additional service fee of US$75 applies if you cancel less than 24 hours before your flight. The additional service fee of US$75 will also apply if you don’t show up for your flight or if you change your flight booking less than 24 hours before your flight. If a new ticket is reissued in your change of booking, there will be an additional service fee of US$12 for an online transaction or US$20 for an offline transaction.However, you won’t receive a re-deposit of your KrisFlyer miles if you’ve partially used your award ticket – for instance, you’ve flown on the departure flight but are unable to make the return flight.	0
113	I will not be able to use an award ticket that I redeemed with my KrisFlyer miles. How long will it be before my KrisFlyer miles and airport taxes are refunded?	Your KrisFlyer miles will take up to a week to be redeposited. Airport taxes will take up to three weeks to be processed. This does not include the time taken for credit card companies to reflect these refunds in your statements and/or the delivery time for cheques.	0
114	Who can be my redemption nominee?	Anyone at all. You can nominate up to five individuals (but not a corporation or legal entity) as your redemption nominees – which means that you can redeem your KrisFlyer miles for award tickets or flight upgrades for them, and/or pay for their tickets on Singapore Airlines and SilkAir with your KrisFlyer miles when you book online.Once you add someone, you can’t change them for six months. And while adding someone is free, deleting them will cost you miles or money:If your redemption nominee is a child or an infant, he/she will still require the same number of KrisFlyer miles for redemption.	0
115	Can KrisFlyer or PPS Club members of any age redeem their KrisFlyer miles for award tickets?	A KrisFlyer or PPS Club member who is 12 years old or below cannot redeem his/her KrisFlyer miles for award tickets online, unless a redemption nominee who is 18 years old or above is travelling with him/her on the same flight.A KrisFlyer or PPS Club member who is between 12 and 17 years of age can redeem their KrisFlyer miles for award tickets online for themselves and his/her redemption nominees who are 18 years old or above, but can’t do so for his/her redemption nominees who are below 18 years old.	0
116	Can I redeem my KrisFlyer miles online for a redemption nominee who is under 12 years of age?	Yes, as long as he/she is accompanied. Please get in touch with KrisFlyer Membership Services if your redemption nominee who is under 12 years of age will be travelling unaccompanied.	0
117	If I’ve redeemed my KrisFlyer miles for an award ticket, must the credit cardholder who paid for the taxes and charges be a part of the travelling group?	No, the credit cardholder need not be a part of the travelling group when you redeem your KrisFlyer miles.	0
118	Can I make changes to my award ticket online?	Yes, you can change the date and time of your flight, and even the route, online. If you’d like to cancel your award ticket or make any other change, get in touch with KrisFlyer Membership Services. However, please note that the 15% online redemption booking discount, that was applicable for award flights booked and ticketed before 23 March 2017, will no longer be vaild.	0
119	How can I cancel my award ticket?	To cancel your award ticket, please call KrisFlyer Membership Services. You’ll be charged a nominal service fee of USD 30 if you’re a KrisFlyer member or USD 15 if you’re a KrisFlyer Elite Silver, Elite Gold or PPS Club member. An additional service fee of USD 75 applies if you cancel less than 24 hours before your flight.	0
